Yorum,Duygu
"""Urun sorunsuz elime ulasti. Is yerim icin aldim, cok memnunum.""",Olumlu
"""Cidden harika bir urun, ogrenci evim icin aldim, cok guzel. Harika bir urun, guzel sogutuyor.""",Olumlu
"Urun guzel, kargoda sorunsuz.",Olumlu
"Sorunsuz sekilde teslim aldik, fiyat performans cok guzel, tesekkurler ",Olumlu
"""Hersey cok guzel ve hizli bir sekilde geldi, tesekkurler. Iyi aksamlar.""",Olumlu
"""Guzel kullanisli no frost olmasi sebebiyle tercih ettim en fazla 4 kisilik aileler icin ideal umarim uzun sureli kullanimi olur.""",Tarafsiz
"""Urun nokta hasarsiz geldi kuruldu cok memnunum tavsiye ederim Trendyol da tesekkur ederim.""",Olumlu
"""Memnun kaldik.""",Olumlu
"""Indirimdeyken almistim. Kargo ile de sorun yasamadim. MasaAllah Gercekten cok guzel sogutuyor. 3 kisilik aileyiz, bizim icin bile oldukca buyuk. 4 kat rafi var. Ben cok memnunum.""",Olumlu
"""Buzdolabini anneme aldim. Horoz lojistik ve media markt cok iyi is cikardi. Siparisim ertesi gunu yola cikti ve iki gun sonra geldi. Ertesi gunu de servis gelip kurulumu yapti. Buzdolabi cok guzel, cok kullanisli, gayet genis ve ferah.""",Olumlu
Cok guzel bir urun genis baya anneme de aldik,Olumlu
Mukemmel bir dolap indirimde aldim cokta memnun kaldim tavsiye ederim,Olumlu
sorunsuz ve kisa surede elime ulasti servis ertesi gun gelip kurdu dolap da hacmi cok genis kullanisli samsung kalitesi...,Olumlu
Anneme hediye aldim. Cok begendi. Guzel kullanisli🤌,Olumlu
Daha kurulum yapilmadi insallah guzeldir. Yorumlara bakarak aldim,Olumlu
indirimden almistim 2. evime almadigima pisman oldum,Olumsuz
urunu cok begendim cok tesekkur ederim,Olumlu
Guzel saglam geldi ve sorunsuz. Tesekkur ederim satici ve Trendyola,Olumlu
argos elektronige cok tesekkur ederim okadar ilgili bir saticiki kargo sorunuyla bile yakinen ilgilendi.Dolabin kurulum bugun oldu kullanmadan yazmak istemedim bu fiyata alinabilecek en iyi dolap alacaklara tavsiye ederm hem ideal genislikte hemde Samsung kalitesi tabiki tencereler rahat sigiyor ust kahvaltilik bolumu olsn enalt sebzelign genisligi,Olumlu
Harika tesekkurler trentyol,Olumlu
sorunsuz geldi gayet guzel memnun oldum,Olumlu
sorunsuz geldi tsk ederim,Olumlu
cok guzel kaliteli bi urun sebzeleri haftalarca taze tutuyor siddetle tavsiye ederim,Olumlu
Muko kesin alin,Olumlu
gayet sorunsuz geldi tesekkurler,Olumlu
Cok guzel cok memnun kaldim tesekkur ederim ,Olumlu
"Mukemmel, Tesekkurler Trendyol.",Olumlu
cok memnunum tavsiye ederim cok guzel cok kullanisli vede cok guzel geldi teslimat cok guzel elinize saglik cok tesekkur ederim ,Olumlu
Cok begendim sorunsuz teslim aldim sogumasi mukemmel kalabalik aileler icin biraz ufak4 kisilik aile icin ideal sadece ayak tekerlekleri gorunmese daha iyi olurdu,Olumlu
Harika tesekkur ederim,Olumlu
cok hizli teslim edildi kaliteli urun,Olumlu
gayrt iyi dolap,Olumlu
sorunsuz bir urun aldim emegi gecenlere cok tesekkur ediyorum,Olumlu
Evde kullandim memnun oldugum icin is yerimede aldim,Olumlu
Sorunsuz teslim edildi. Ic hacmi genis yedek olarak almistim kurtarici oldu. Buzluk kisminin sogutucu olarak kullanilmasi super,Olumlu
Piyasaya gore daha uygun fiyata aldik guzel bi urun ust bolmesini dondurucu olarak kullanmak istemezseniz ayari var ona gore ayarlayip normal buzdolabi seklinde de kullanabilirsiniz ici genis bi evin ihtiyacini karsilayabilir bence almak isteyenler dusunmeden alsin,Tarafsiz
"Samsung Coling tower sogutma ozelligiyle fakli bir buzdolabi  urun , kalitesi kendini gosteriyor. Tesekkurler Trendyol. ",Olumlu
Tereddut ederek aldim 1 aydir kullaniyorum tavsiye ederim,Olumlu
"ic genislik olsun sessizligi olsun 10 numara ozellikler ve goruntusu cok iyi , camasir ve bulasik makinalari gurultulu en azindan buzdolabi iyi cikti",Olumlu
"Hem urunden, hem de firmadan aldigim hizmetten son derece memnunum. Hizli teslimat, teslimat sonrasi hizli ve sorunsuz cozum ve hizmet. Daha ne olsun? Cok tesekkur ederim.",Olumlu
guzel kullanisli,Olumlu
ic hacmi baya genis ve kulanisli samsung kalitesini bilen bilir anltmaya gerek yok,Olumlu
Tek kelime ile harika..,Olumlu
urunu cok begendim,Olumlu
iyi guzel,Olumlu
Urunu tavsiye ediyorum,Olumlu
urunu cok hizli ve hasarsiz teslim aldik ici genis cok kullanisli tesekkurler,Olumlu
Dunyanin en kotu urunu,Olumsuz
Cok memnunum. Farkli urunler icin farkli sogutma seviyelerine sahip alanlarin olmasi cok guzel. Servis de hizli geldi ve cok ilgiliydi,Olumlu
"Alali neredeyse 1 sene olacak cok memnun kaldik, tavsiye ederim.",Olumlu
mukemmel bir urun,Olumlu
samsung bir urune hep gozum kapali guvenirimmm,Olumlu
urun gayet guzel ve kullanisli kargo hizmetleri son derece guzel tesekkurler,Olumlu
Gayet guzel,Olumlu
kayinvalideme aldik ve gayet memnunlar sorunsuz ulasti,Olumlu
boyutu iyi begendim memnun kaldim,Olumlu
Isyerine aldik cok memnunum,Olumlu
Fan biraz ses cikariyor ama rahatsiz edici bir seviye de degil ... Bir buzdolabindan istediginiz herseyi veriyor,Olumlu
Efsane tavsiye ederim,Olumlu
Ici genis kullanisli urunu cok begendik tesekkur ediyoruz tavsiye ederim,Olumlu
"Samsung kalitesi 1 ay oldu kullaniyorum asirisi sessiz calistigini anlamiyorum bile, sogutmasi ise harika yicekler guvende",Olumlu
mediamarkt son derece iyiydi tesekkurler ama arvato diye bir kargoyla gonderiyorlar hayatimda gordugum en kotu kargo sirketi.iade icin gunlerce  beklettiler ne subesi var ne numarasi ulassaniz bile bilgi veremeyiz diyorlar,Olumsuz
"Orta segmentte alinabilecek en guzel buzdolabi, fiyati ucuz ama parcalari pahaliymis ilave sigorta yaptirdim. Kargo cok hizli geldi, sorunsuz kurulum, sesi az, terlemeyi yanlardan veriyormus o yuzden yanlari sicak olabilir dediler ama 3 gundur kullaniyorum son derece normal bi sicaklik var yan taraflarinda. Icine 2 buyuk tencere yarim karpuz gibi",Olumlu
Simdilik cok iyi,Olumlu
Cok guzeldi ,Olumlu
Istanbul / Kucukcekmece de oturuyorum 5 haziranda siparis verdim 7 haziranda oglen geldi. Tasima iyiydi distan herhangi bi kusuru yoktu. Ceyiz icin aldim. Umarim kurulum zamaninda cihazdada bi sorun cikmaz. Tesekkur ederim ilginiz icin. ,Olumlu
Tavsiye ederim arastirip almistim,Olumlu
Raflar biraz ince ama samsung kalitesi hissediliyor,Olumlu
Gayet guzel kullanisli buzzz gibi yapiyor konforlu cok memnunuz ☺️,Olumlu
cok guzel tavsiye ediyorum,Olumlu
memnunum  tavsiye ederim,Olumlu
Cocugum icin  aldim. Amator kullanicilar icin beklentinin otesinde.  Tam bir fiyat  performans urunu.,Olumlu
"yegenim e aldim cok begendi, surpriz yaptim , cok hizli gitti firmaya ve kargoya cok tesekkur ederim yanliz istedigi degilmis ,iade edip istegini alacagiZ sizi gordugum icin kusura bakmayin :",
arkadasimin 7 yasindaki cocuguna hediye aldim. cocuk icin yeterli hafiza karti eklemek gerekiyor,Tarafsiz
Fiyatina gore is gorur. Daha profesyonel seyler dusunuyorsaniz yuksek fiyatli urunleri almaniz gerekiyor ben oglumu aldim oglum bile kendi capinda video cekmesine ragmen gozu bir tek yukarlarda,Tarafsiz
Kuzenim icin aldik cok begendik yasi kucuk olanlar icin ideal,Olumlu
"Su altinda goruntu zayif, ne cektiginizi gormeden cekiyorsunuz.  Bazen karti okumuyor  gibi ama acip kapatinca duzeliyor.  Ama f/p olarak iyi. Yazin su altinda eglenceli fotograflar ve videolar cektik. Guzel bir hatira kaldi. Cocuklarin gonlu oldu. Bence bu yeterli.",Olumsuz
Tam bir fiyat performans urunu. Su alti denedim. Yeni baslayanlar icin oneririm.,Olumlu
sorunsuz geldi memnun kaldik,Olumlu
eski teknoloji gibi ama idare eder duruyor. cok uygun fiyata aldim acildigina sukur :)) ben eglencesine aldim denemek icin guzel duruyor,Olumlu
gercekten mukemmel goruntuler elde ediyorum. eski bir selfie cubuguna takip denizde samandiralarin ipine sabitleyip video cekiyorum sonra bilgisayarda videolari kirp diyince mp4 formatina otomatik geciyor bu sekilde telefonuma aktarabiliyorum avi formatini telefonlar desteklemiyo. ve begendigim anlarin ekran goruntusunu aliyorum. profesyonel,Olumlu
cok guz3l urun,Olumlu
vasat urun,Olumsuz
"Havuzda kullandik, sorunsuz. Kullanimi kolay fakat goruntuleri bilgisayara yukleyemedik. Fotograflar yuklendi ,videolar gozukmuyor.",Tarafsiz
is gorur ufak cocuklar icin iyi,Olumlu
"Hafiza problemi var, desteklemeyeceginden oturu cok yuksek gb kullanamiyorum. Sarji cabuk bitiyor goruntu kalitesi fena degil. Fiyat performans olarak bakildiginda muadillerin arasinda iyi duruyor.",Tarafsiz
hafiza kartsiz geliyor cok dandik birsey goruntu kalitesi sifirin altin 1980 model araba gibi dusunun berbat otesi,Olumsuz
Cok guzel yazin kullanicaz,Olumlu
Goruntu kalitesi biraz dusuk ama yinede kullanilabilir,Tarafsiz
F/p urunu cok yuksek goruntu kalitesi beklemeyin 480p gibi puslu ama idare eder profesyonel kullanim degil de amator kullanim icin uygun,Tarafsiz
daha deneme firsatim olmadi ama kargo cok hizli geldi butun aparatlari saglam ve eksiksiz guzel duruyor goruntu kalitesi cok guzel degil ama fiyatina gore guzel bir urun,Tarafsiz
"Hafif, goruntu kalitesi guzel denilebilir bu kamera icin. Sarji cabuk bitiyo ama.",Tarafsiz
"Tam bir fiyat performans urunu. Gunluk trafik akisinizi kaydedecekseniz ideal bir kamera.  Olumlu taraflari : Fiyatina gore goruntu kalitesi iyi, urun tum aparatlarla beraber geliyor. Sarzi 2",3 gun gidiyor. Olumsuz taraflari : Videolari .mov formatinda kaydediyor dolayisiyla boyutlari buyuk oluyor.
Kullandik guzel,Olumlu
cok bi kalite beklemeyin. kizim vakit gecirsin diye almistim. ara ara kendiliginden kapaniyo. fakat beklentimi karsiladi.,Olumsuz
gayet iyi begendik,Olumlu
Kalitesiz almayin,Olumsuz
Kotu yorumlara bakmayin 720p cekimde efsane su altinda da cok iyi cekiyo mikrofonuda baya iyi,Olumlu
"Goruntu kalitesi kotu, 12 mpx ile alakasi yok.",Olumsuz
cok kotu bence almayin paraniza yazik,Olumsuz
Fiyat performans acisindan iyi bir urun,Olumlu
her sey cok iyiydi. bol bol kullandik. gayet basarili bi urun,Olumlu
Goruntu kalitesi zayif ve hafiza karti icinde yok ama hos bir kamera.,Olumlu
Kizim cok istedi aldik cok memnun tatilde havuzda cekim yapmayi dusunuyor bakalim nasil olacak,Tarafsiz
cok guzel cihaz,Olumlu
Bence gayet guzel,Olumlu
cok bisey beklememek lazim fiyatina gore,Tarafsiz
Fiyat performans urunu denemek icin uygun bir fiyata aldik memnun kaldik,Olumlu
Kullanisli ,Olumlu
Arac ici kamera olarak kullaniyorum gayet guzel,Olumlu
malesef ,Olumsuz
Malzeme kalitesi cok iyi degil,Olumsuz
Cok guzel,Olumlu
Urun guzel ve kullanisli,Olumlu
Bekledigim gibi geldi. Goruntu kalitesi cok yuksek degil ama orta cekimde iyi.,Tarafsiz
guzel urun hizli kargo,Olumlu
harika bu fiyata bu urun,Olumlu
su alti deniz kamerasi efsane cok guzel cok net gosteriyor,Olumlu
oyuncak olarak alinabilir.,Olumsuz
beyaz ekran ,Olumsuz
Keske icine kamerayida koysaydiniz.,Olumsuz
fiyat performans urunu hizli satici memnun kaldik,Olumlu
urun video cekimi yapmiyor,Olumsuz
Fiyat performans urunu. Kullanisli. Cok iyi cekim yapmiyor ancak zaten bu fiyata buyuk bir beklentiyle almadim. Oglum tatilde kullansin diye aldim. Hafiza kartini ayrica almaniz gerekiyor. O da icinden ciksa daha iyi olurmus.,Tarafsiz
goruntu kalitesi kotu. kayit yapiyor ama cok bulanik.,Olumsuz
su alti kamerasi olarak guzel cekim,Olumlu
Urun fiyatina gore guzel .Satici cok ilgili .Tesekkurler..,Olumlu
urunu aldim fakat kullanmaya daha zamanim olmadi.sualti cekimi iyiyse benim icin tamamdir.,Tarafsiz
fiyat performans acisindan iyi idare eder bir kamera,Tarafsiz
fiyat6na gore iyi is gorur,Olumlu
Fiyata gore iyi ama gerek yok,Tarafsiz
"Kesmiyor etleri yoluyor, kalitesi dusuk ve farkli marka yollanmis.",Olumsuz
hala gelmediiiiii,Olumsuz
Ablama hediye olarak aldim. cok begendi sarisi cok acik rengi degil ama tam goruldugu gibi de degil orta indirimdeyken alinmasini oneririm,Tarafsiz
Urunu hediye olarak almistim indirimden aldim cokda kaliteli degil indirimden aldigim icin iade etmedim,Tarafsiz
Kayinvalidem hediye aldim kumasina ve modelini begenmis,Olumlu
urunu begebdim indirimden almistim,Olumlu
merhabalar gozel set aldim beyendim ve 4tane aldim guzel ve rahat kulanislidir yikamada sorun olmadi tsk imdirim olursa haber verin sayqlarla,Olumlu
Sakin ama sakin almayin buyuk bir istekle surpriz olarak almak istedim fakat gelen urun sonrasi mahcup oldum parama yazik bildiginiz naylon ve rengi cok soluk haketmiyor parayi kesinlikle,Olumsuz
Cok guzel deseni var. Hediye aldik bayildilar. Biraz pahali ama. Osmanli desenleri severler bayilir.,Olumlu
Gold ve avangart asigi biri olarak cok begenerek aldigim ve cok severek kullandigim bir urun. Tesekkurler trendyol,Olumlu
Anneme indirimden almistik cok kaliteli bir urun degil ince ve tek yikamada rengi soldu,Olumsuz
indirimde almistim ama yine de fiyatina gore kalitesi cok dusuk iade ettim,Olumsuz
daha once alip kullanmak icin sakladigimiz bir urundu 30 C de yikanmasina ragmen renk atti camasir suyu degmis gibi oldu kesinlikle kaliteli bir kumasida yok asla tavsiye etmiyorum asla bu sayfadan birdaha alis veris yapmayacagim,Olumsuz
Asla gorsele aldirmayin gorundugu gibi gelmedi anneme hediye almistim ben uyurken kargo gelmis annem alip makineye atmis yikamak icin yoksa aninda iade ederdim yan dikislerini sokup tekrar dikmisler erbat duruyor rengi soluk kumasi kalitesiz sakin almayin,Olumsuz
urun bugun elime gecti 30  derecede yikadim cok buyuk husrana  ugradim mahcubiyetimi ise anlatamam anneme hediye almistim  rengi tamamen soldu gorundugu gibi asla degil cok yazik ....,Olumsuz
urun cok guzel cok kaliteli ceyiz hediyesi almistim indirimden memnun kaldim,Olumlu
bu urunu hediye almistim ben cok begendi hediye ettigim kisi cok guzel dedi,Olumlu
Ceyizime aldim efsooo,Olumlu
Bu fiyata daha duzgun bir sey alinabilir. Tek guzel olan tarafi desen. Kumasi pek kaliteli degil. Indirimde aldigima ragmen degmedi,Olumsuz
hediye aldim cok begendiler.,Olumlu
Hediye aldik ve cok kullanisli,Olumlu
uc kurus  fazla olsun kaliteli olsun. ablama hediye aldim rengi soluk geldi sonra  yikandi renk menk kalmadi paraniz bosa gitmesin almayin.,Olumsuz
hediye olarak aldim cok begebdiler,Olumlu
kalitesi fazla iyi degil sus amacli kullanilabiliyor,Tarafsiz
urunden iki tane aldim ama birinin carsafini cift kisilik olmasina ragmen tek kisilik koymussunuz  ve butun guzelligi batirdiniz cok sagolun gercekten ,Olumsuz
Fiyati urune gore uygun rengi de canli aynisi gibi geldi tesekkurler Trendyol,Olumlu
ASLA ALMAYIN ASLA !!! PARANIZA YAZIK 1 KERE YIKAYINCA RENGI SOLUYOR CIFT KISILIK YERINE TEK KISILIK CARSAF YOLLAMISLAR,Olumsuz
