Season,Time,Content,Sentiment
Yaz,Akşam,hocam sizce 16yı beklemek mantıklı mı yoksa 15proyu mu almalıyız,
Yaz,Akşam,14 pro max mi 15 pro mu ,
Yaz,Sabah,257 devir ilk kullanımım da ekimde ama benim pil sağlığım 92 ye düştü ve aşırı ısınıyor Pil sağlığı aşırı hızlı düştü,
Yaz,Sabah,5560k bütcem var iPhone 14 pro ikinci el alsam sizce hata mı etmiş olurum iPhone 15 pro almak istemiyorum çünkü ön kamerası güzel değil diyor her kullanıcı,
Yaz,Akşam,iPhone 14 aldım oda güzel telefon oyunlardada akıcı kamerasida güzel dememin sebebi dűz model bence 13 den başlayib 15 kadar alinir kesinlikle uzun vadede işinize yarar,
Yaz,Öğlen,Realme 12  pro plus 5g nin uzun kullanım bilgisi gelsin,
Yaz,Sabah,iPhone 13 Kullanıyorum 8 Ay’da 92 oldu o da oyun oynadığım için eğer ki oynamasaydım 98 veya 99 olurdu,
Yaz,Akşam,iPhone ekran olarak Samsungun acayip gerisinde kalmış s24 ultra da mükemmel yansıması ekran var kullanan farkı kesinlikle anlayacaktır iPhone yanında taş devrinden kalma gibi kalıyor,
Yaz,Sabah,şunu sormak isterim  Iphone 15 pro alacaktım lakin 16 pro nun çıkmasına da 2 ay daha var sizce beklemelimiyim yoksa almalımıyım   teknosa medimark gibi yerlerden  15 pro alsam  16 pro çıkınca arada ki farkı verip geçiş yapabilirmiyim  TEŞEKKÜRLER  Hala ıphone 6 kullanmaktayım ilk çıktığı zamandan beri entegrelerde sıkıntı yaşamasaydım değiştirmezdim ,
Yaz,Sabah,Abi ilk defa kullanılan ürünlerin linkini görmek istedim  Bunsefer de link yok  Kullanınan ürünlerin linki olan paylaşabilirse memnun olurum  Teşekkürler,
Yaz,Gece,iPhone çok saçma bir telefon Param var aldım ötesi yok Apple satış stratejisi keriz silkeleme üzerine kurulu,
Yaz,Sabah,404 arkadaşım paslanmaz çelik titanyumdan daha sağlam ve dayanıklı bir malzeme titanyumun tek artısı hafif olması her zaman aynı şeyi diyip duruyorsunuz gidin hydraulic press kanallarını izleyin anlayacaksınız… korozyona karşı dayanımda da paslanmaz çelik titanyumdan daha üstün her türlü dayanım konusunda cerrahi sınıf paslanmaz çelik titanyumdan daha üstündür,
Yaz,Akşam,Hocam s23 den 15proya geçilirmi S23 den önceki cihazım iphn 13 dü memnundum ancak garanti bitince sattım ve s23 e geçtim ancak şuanda iphone nun pratikliğini arıyorum  S23de güzel cihaz ancak uzun yıllar android kullanıp 2 yıl ios kullanımı sonrası tekrar  androide dönmüş biri olarak apple her nekadar eski android özelliklerini bize yeni özellik gibi pazarlasada en iyisini yapmadan sunmuyor,
Yaz,Sabah,Ön siparişle almıştım  99 şuan 15 pro Max,
Yaz,Sabah,bıyıklarına ne oldu öyle yoluyormusun sen onları,
Yaz,Sabah,çok güzel inceleme olmuş tebrikler,
Yaz,Gece,1817 pil devir sayimi niye cikmiyor bende 14 pro max kulaniyorum,
Yaz,Akşam,Aldığım cihazın bütün özelliklerini güncelleme bitene kadar kullanacaksam neden olmasın Birkaç foto için 15 pro alınmazGündelik kullanıcı için 15 yeterli olur diye düşünüyorumAyrıca şarj problemi vs çok bahsediliyor724 telefona bağlı kalamayacağımız için 1 saatte tam şarj olacaktır,
Yaz,Sabah,Burak abi 15facewithtearsofjoyfacewithtearsofjoy,
Yaz,Sabah,androidcileri sabaha kadar dinlemek isterdim lakin onlar nereden bilecek ,
Yaz,Öğlen,Emeyine sağlık,
Yaz,Sabah,Bu arada rafine bir zevkiniz varmış sanırım 1215teki Seiko Presage otomatik saat dikkatimi çekti Ufak bir kullanıcı deneyimi videosu bekleriz,
Yaz,Akşam,22 dakikadan 23,
Yaz,Akşam,280 dongu pil sagligim 93 telefonu aktif kullaniyorum elimden dusmuyor fakat pil sagligim bu son 1 ayda 4 bi anda dustu ayrica elimdeki telefon guncel olmasina ragmen aşşiri isiniyor ilk kullanim ekim 2023,
Yaz,Öğlen,Sizden ricam 14 pro da sinematik mod 3 x idi neden bunda 2 x anlayamadim bi bakabilir misiniz 2x den sonra yakinlastirabiliyor musunuz ,
Yaz,Akşam,iPhone 15 pro alınır kanka ama bu devlete vergi ödeyerek alınmaz ,
Yaz,Akşam,15 ProMax 4 ayda 98 e düştü Devir sayısı 78 ve gece hiç şarjda kalmadı,
İlkbahar,Akşam,Bende 15 pro max var çıkar çıkmaz aldım batarya sağlığı  hala 100 zaten 16 serisi geliyor en fazla göreceğim 9897 olur heralde…,
İlkbahar,Öğlen,Aralıktan beri 15 pro max kullanıyorum ankerin 30wlık şarj aleti ile şarj ediyorum 194 döngüde pil sağlığım 99da,
İlkbahar,Sabah,14 pro max sahibiyim hiç oyun oynamadan yoğun kullanıyorum 14 ayım  batarya  89,
İlkbahar,Sabah,Merhaba 14 Pro Maxten yatırım ve ilerde satmak için 15 Proya geçmek mantıklı olur mu sizce,
İlkbahar,Öğlen,525 nereden satın alabilirim,
İlkbahar,Sabah,Kamera sorunlari var diyolardi ama videoda kamerasi guzel cekmiş kararsiz kaldim 14 pro 15 pro arasinda,
İlkbahar,Akşam,Iphone 15 pro pil sağlığını merak ettiğim geldim ama Ipadde re village oynandığını öğrendim şuan indiriyorum tşk,
İlkbahar,Öğlen,iphone 15 şimdi almak mantıklı mı yoksa 16 çıkmasını bekleyip indirimle mi alınmalı tabi buradaki handikap kur olacak D,
İlkbahar,Akşam,Konsol oyunları açması inanılmaz bi olay telefonun pcden bi farkı yok,
İlkbahar,Öğlen,Karbon hıkaye ucuz malzeme kullanıp pahalı satmak sahane ,
İlkbahar,Öğlen,Kaçak redmi m le bi bakıştım bırakma beni diyo bende zaten brakamam diyorum  ah fakırlık,
İlkbahar,Sabah,15 pro cihazım var günde 4 saat civarında ekran açık kullanım yaklaşık 8 aydır kulanıyorum pil sağlığı hala 100 ama ben iyileştirilmiş şarj değil 80 maksimum şarj kullanıyorum ve pilim 20 altına düşmeden telefonu şarja koyuyorum belkin marka çift çıkışlı şarj aletimi gece eşimin 14 serisini ve benim 15pro mu şarj için kullanıyorum gün içinde dell marka orjinal laptop şarjımı65wat evde de bazen LG marka laptop orjinal şarj aletini65watt çok nadir de olsa MSI monitörümün type c çıkışından 65Watt  şarj ediyorum Şu son 2 haftadır aplikasyonlarda ve tarayıcıda ciddi internet yavaşlaması olduyeni yazılım ile bu gidecek mi bakacağımama 14 pro ile eşim aynı yerlere daha hızlı girerken bende durum sıkıntı,
İlkbahar,Gece,Elimde 14 pro max batarya döngüm 423 pil sağlığı 96 şar aralığı 20 ile 80 arası kullanıldı bu arada jailbreakli cihaz,
İlkbahar,Akşam,Ya tam almayı düşünüyorum en sevdiğim editör vidyo atıyo şans yüzüne güldü Teşekkürler,
İlkbahar,Sabah,Call of duty Warzone mobile ayarlarını bi rtık düşüğe aldım ısınma kararma ortadan kalktı,
İlkbahar,Sabah,yalnız guts a bakmaktan ben incelemeye bakamadım,
İlkbahar,Gece,15 plus kullandim Sarji 15 prodan daha cok gidiyordu,
İlkbahar,Akşam,7 ayda 96 pil sağlığı çok kötü bir değer bana göre buradan anladığım kadarıyla telefon muhtemelen elinizden düşmüyor ve oyundan kamera özelliklerine bütün işlevlerini en zorlayıcı şekliyle kullanıyorsunuz sanırım ben şuan 13 mini kullanıyorum geçen sene almıştım 1 senedir elimden düşmüyor oyun oynmıyorum ama genelde foto video çekerim buna rağmen an itibariyle pil sağlığım 97 de şuan sizin pil sağlığı baya hızlı ilerlemiş,
İlkbahar,Sabah,Bence en iyisi S24 Ultra 1 yıldır kullanıyorum ilk günki gibi pil perpormansı sunuyor,
İlkbahar,Akşam,Herkese selam Bende yavaş yavaş emekliye ayrılmak üzere olan iPad 5 var 15 ipad 10 mu yoksa direkt 15 pro mu almalıyım iPadi tamamen safari youtube nota okumak basit işler için kullanıyorum,
İlkbahar,Öğlen,Kılıfta orjinalliğinin ve milimetrik hesaplarla üretilen spigen kılıflarını tek geçerim,
İlkbahar,Sabah,Elimde 15 yıldır kullandığım iPhone 14 Pro Max var Satıp üzerine 10 bin lira verip sıfır 15 Pro almayı düşünüyorum Sizce mantıklı mı 16 serisi çıktığında elimdekinin değer kaybedeceği bir gerçek,
İlkbahar,Gece,S24 ultra iphone dan çok daha iyi aslında hem işlemci hem kamera konusunda özgür bir platform sunuyor apple sadece kendisinde varmış gibi sunuyor özelliklerini,
İlkbahar,Akşam,Arkadaşlar Canon 750D ve stm 50mm lens var elimde cüzdan vb Ürünler çekmeye çalışıyorum ama beceremiyorum Çünkü dslr makineden hiç anlamıyorum Fotoğraf düzenleme deseniz hiç anlamıyorum Instagram reels ürün çekimi trendyol ve instagram vb için iphone 15 pro almalı mıyım sizce Çünkü çektiğim fotoğraflar maalesef başarısız Direkt çekip atmak istiyorum hiç ama hiç anlamıyorum dslr makineden Udemy YouTube kursları aldım ama vaktim çok daraldı Yurt dışı almayı düşünüyorum ne dersiniz ,
İlkbahar,Sabah,Sırf videoyu sen attığın için izliyorum kral,
İlkbahar,Sabah,15 pro max ilk kullanim eylul 23 dongu 221 saglik 100 hep 80 sinir acik kullanildi 20 altina inmeden sarj edildi,
İlkbahar,Sabah,Şolt hocam bu incelemeyi tamamen başka bir 15 pro ile hem standart hem slog olarak çekip paylaşmanı isterdim şahsen tıpkı Appleın yaptığı gibiBu arada bu bir iphone içeriği olmalı android rakibinin değil  rakibinin yapay zekalı kamerasını merak eden o içeriği izlesin Rakibinin içeriğine dönüşmeye başlıyor bir süre sonra izleyince,
İlkbahar,Akşam,Abi o urunun linki varmi,
İlkbahar,Sabah,Bendede 15 pro var 6 saat ekran süresini geçemiyorum normalmiVideoda 78 saat deniyor,
İlkbahar,Akşam,standart satış algoritması zaten yeni çıkacak İphone 16 serisinde eksi olan çoğu şeyi fixleyerek millete sunacaklar,
İlkbahar,Akşam,Hacı öldürmüşsün telefonu Benim telefon 14 pro max 1 buçuk sene olacak 98 seviyesinde batarya,
İlkbahar,Akşam,15 plus devir 32 pil 99,
İlkbahar,Gece,Objektif samimi detaycı ve güler yüzlü doğru karakteri ile BURAK ŞOLT adamsın Seni uzun süredir takip ederim kimseye yorum yazmam seni görünce kendimi yazmak zorunda hissediyorum yolun açık olsun güzel insan,
İlkbahar,Akşam,15 serisi asla alınmaz gördüğüm en berbat iphone diyebilirim 11 cihazından geçtim şarjı ekran kapalıyken bile gidiyor  10 dakika video izledim şarjım 43 ekranı kapattım birkaç dakika sonra açtım 41’e düşmüş bu durumu müzik dinlerken veya aklınıza gelebilecrk yüm uygulama kullanımı sonrası yaşadığımı düşünün günlük böyle 2025 şarj çöpe gidiyor sıfırladım beta sürümüne güncelledimçoğu pil yiyen ayarı kapattım apple destekle sayısız test yaptım ancak bir türlü düzelmedi10020 arası 45 saat ekran süresi alıyorum ancak testlerde ve forumlarda bu sayı 67 hatta 8 saat şuan aldığım süreler yaklaşık bi iphone 1112 cihazıyla aynı gibi düşünün…Apple servisine gitsem elimdeki videolarıss’lerle beraber cihazı teslim etsem sıfırlayıp geri vereceklerdir artık cihaz değişimi kolay kolay yapılmıyor pil deseniz sağlam oda değişmez cihazı satsam en az 56 bin lira zararda olurum,
İlkbahar,Öğlen,15 promax kullanıyorum ve hiç bir sıkıntı yaşamadım bütçeniz varsa direk 15 promax alın 15 pro batarya konusunda üzebilir ,
İlkbahar,Sabah,S10 kullanan ben özenerek izledim ,
İlkbahar,Sabah,Hem iphone 14 pro max hemde s24 ultra kullanan biri olarak söylüyorum S24 ultra fotoğraf olarak çok daha önde hemde 12 megapiksel kamerasıyla 200 mp kamera pek işe yaramıyor 50 mp fena değil,
İlkbahar,Öğlen,Bende 15 pro Max arkadaşımda 15 pro var şarjı daha uzun gidiyor 1 ay oldu çabuk bitiyor arızalı olabılır mı,
İlkbahar,Gece,Burak şolt abi logitech kulaklıkları inceler misin,
İlkbahar,Akşam,Video iphone rakipsiz,
İlkbahar,Akşam,16 pro yan cerveleri paslanmaz çelik  gibi parlak olacakmış,
İlkbahar,Öğlen,Konsol oyunu oynayıp ısındı bu demek garip Aynı oyunu konsol kaç derecede çalıştırıyor fikriniz var mı,
İlkbahar,Öğlen,şolt,
İlkbahar,Öğlen,12 aylık 14 pro max 330 pil döngüsü 87 pil sağlığı,
İlkbahar,Öğlen,Yemin ediyorum iPhone sadece işletim sistemi yüzünden kullanıyorum başka bir boku yok yoksa bataryası berbat ötesi,
İlkbahar,Öğlen,Batarya performansı çok iyi görünmüyor,
İlkbahar,Öğlen,Magsafe soğutucu link var mı acaba,
İlkbahar,Öğlen,Senin batarya sağlığının bizi ilgilendirdiğini nereden düşündün de video çektin anlayamadım,
İlkbahar,Öğlen,15 pro max bir bende mi sürekli hata veriyor anlamadım,
İlkbahar,Sabah,Arka plan resmini paylaşır mısın,
İlkbahar,Sabah,Valla hocam benim için iPhone 15 pro tam bir hayal kırıklığı olduİphone 14 pro Max den geçtim 12 ay zor kullandım aşırı ısınma ve hızlı biten pil yüzünden ayrıca tasarım olarakta bence daha kötüŞuan s23 ultra kullanıyorum iPhone 16 yı bekliyorumAma s23 ultra oldukça güzel bir cihaz,
İlkbahar,Sabah,ipad pro aldım 21 bin tl  aynı miktarda dolar aldım şuan fiyatları aynı  yapay zeka devreye sokucak apple eğer tutarsa 15 pro alanlar şuan pişman olur,
İlkbahar,Sabah,Hangi marka ekran koruyucu kullandın Burak onu da söyleseydin D,
İlkbahar,Sabah,İsterse yüzde yüz olsun 11 ay boyunca 15 ayın sonunda yüzde 90 ‘a düşüyor,
İlkbahar,Sabah,yaklaşık 45 aydır 15 pro kullanıyorum pil 100 devam,
İlkbahar,Sabah,1 ay önce 15 pro  aldım gayet ii telefon ama pro maxte aklım hala ,
İlkbahar,Sabah,Detaylı güzel deneyim videosu ,
İlkbahar,Sabah,Apple watch sadece bildirim ve saate bakmak için işime yarıyor uyku takibi nabız falan inandırıcı değil özellikle nabız çok kötü neden kötü dediğimide söyleyeyim apple watch series 8 44mm var bende bu saati çikolayaya takdım çikolatanın nabızının 77 olduğunu gösterdi ve bunu başka çikolata markasındada  yapdım hepsinde farklı sonuç çıkarttı,
İlkbahar,Sabah,Beklediĝim videoo,
İlkbahar,Sabah,guzel bir inceleme tesekkurler,
İlkbahar,Sabah,Teşekkür ediyorum ,
İlkbahar,Sabah,14pro kullanıcısı olarak 16 pro ve ya max modeline geçmeyi düşünüyorum,
İlkbahar,Sabah,S24 ultra ekranı yansıma önleyici katman yüzünden daha kolay çiziliyor,
İlkbahar,Gece,Ben de pro Mac 15 var ama şu koca çentik can sıkıcı birde aşağı çekerek ekran yemişler,
İlkbahar,Gece,14 PM kullanıyorum Tam 13 ayda 91 pil sağlığı,
İlkbahar,Gece,13 ten dusuk olsun gosteris meraklıları yine alirlar,
İlkbahar,Gece,Reis mumkunse bu tisortu bir daha giyme cok kotu  iyi yayinlar,
İlkbahar,Gece,Xiaomi 14 Ultra incelemesini de senden görmek isteriz,
İlkbahar,Akşam,Ozel telefonum olarak s24u  sirket telefonu olarak 15pm kullaniyorum  batarya   ekran kalitesi ve ilginc ama performans ta Samsung  karanlik ortamda videoda ve tutus ergonomisinde iphone Bu telefonlarin kameralarini karsilastirmak tam bir cahillik  Kamera karşılaştırması muhabeeti 2019 larda bitti  hala kalkip yok biri yeşili daha koyu  diğeri daha soluk gösteriyor gibi saçma yorumlar bir telefon incelemesi değildir  Bence hosunuza giden hangisi ise onu alin Bu youtube kanallarinin yonlendirmelerine gelmeyin ,
İlkbahar,Akşam,Eline sağlık Burak l çok güzel video sana bir soru s24u mu 15pro max mi  ne açıdan diye sorma herseyi işin içine katınca ne dersin,
İlkbahar,Akşam,14 pro Max ve s23 ultra kullanmış birisi olarak şuna karar verdim en önemli kriterim ekran boyutu o yüzden 15 pro ya geçtim 4 aydır huzurla kullanıyorum,
İlkbahar,Akşam,TELEFONLARINIZI HIZLI ŞARJ ile şarj etmeyinşu anki pil hücre teknolojisi ile hızlı şarj uyumu yüzde 10 yani hızlı şarj etmeyinçok acil durumlarda şarj edin yoksa 2 yılda yüzde 80 e düşer pil değiştirmeye gidersiniztekrar ediyorum orijinal kablosuyla normal apple şarj cihazıyla şarj edin çok paranız varsa hızlı şarj ile 1 yılda yüzde 80 e düşersiniz,
İlkbahar,Akşam,55 aydir 15 pro max kullaniyorum batarya kesinlikle 14 lerden iyi Batarya dongum 162 ve saglik 99,
İlkbahar,Akşam,Keşke Burak eskisi gibi samsung telefonları da bu ilgi ve hevesle incelese Şahsen ben hala s7 edge incelemesini bile canım sıkıldıkça açıp dizi gibi izliyorum,
İlkbahar,Öğlen,Kişiselleştirme inan hiç umurumda değil s23 ultrayı kutudan ilk çıktığı hali ile kullanıyorum duvar kağıdı dahil O yüzden şu uygulamayı istediğim yere koyamıyorum bende hiç önemli bir olay değil Ve kamera performansında 14 pro s23 ultradan kat kat üstün Özletiyor kendini,
İlkbahar,Öğlen,Makineye mi atıcaz evet ayakkabı kılıfıyla beraber çünki kumaş,
İlkbahar,Öğlen,Uzun zaman sonra izlediğim bilgi aldığım keyif aldığım güzel bir inceleme videosu olmuş eline emeğine sağlık Burada Erdi ve mesut çevik kalitesi olmuş başarılar diliyorum ,
İlkbahar,Öğlen,yorumların harika bu piysasada en iyi yorumcusun teşekkürler,
İlkbahar,Öğlen,Epica konserinde bende vardım,
İlkbahar,Öğlen,Sevgili Burak sececegin bir cihaz olsa s24 ultra mi 15 pro mu,
İlkbahar,Öğlen,Bende de 15 pro var  Şarjı gayet iyi dayanıyor Akşamı çıkarmadığı olmadı 115 devir sayısında pil sağlığı 100 gözüküyor Şarj aleti olarak Mi 11 lite tın orjinal şarj aleti ile kullanıyorum İyileştirilmiş pil sağlığı en iyide olarak kullanıyorumEdit cebimde tuğla taşımak istemediğim için bunu tercih ettim İçerik tüketirkende gayet yeterli bir ekranı var İlk iphone deneyemim type c olduğu için android aparatlarımın hepsi uydu,
İlkbahar,Öğlen,Etrafımda alanlar cihazların yüzde 40 kasa sağlam olmadığı için hep ekran ve arka cam çatladı Ben android severim bana çokça geniş imkan tanıyor günümüzde pek fiyatını hal eden cihaz yok ki halen 2020 model poco f2 pro kullanıyorum,
İlkbahar,Öğlen,Apple pil konusunda tüketicileri yanıltıyor ve daha kötüsü ise çoğu insanın bundan haberi bile yok Pil değerlerine dair herhangi bir ibare paylaşmadığı içinde bunun yasal bir yaptırımı da yok.

Rated, MaxFCC, Nominal batarya arasında fark var Rated batarya nedir Bir pilin minumum vaat edeceği kapasitedir MaxFCC nedir Bataryanın gerçek kapasitesini ifade eder Nominal batarya ise de Rated ve MaxFCC arasındaki kapasitedir 

Basitçe S24U 5000 mAh MaxFCC pile sahip ama piller üretildiğinde bu pil hiçbir zaman 5000 olamaz S24U bataryası 4855mAh rated kapasiteye sahip yani kullanıcının şansına 4855 ile 4999 arasında bir rakam alması demek 

Şimdi gelelim Apple neden yanıltıyor İP15P 3274mAh rated bataryaya sahip yani telefonun MaxFCC batarya kapasitesi en az 300 mah daha fazla nominal ise 100300 aralığında olmalı Basitçe İP15P 100 pil sağlığı 3274mAh altına düşerse başlıyor.

Şansınıza 200 mah daha fazla aldığınızı düşünürseniz sizin pil sağlığınız 106 dan başlaması demek Basitçe batarya sağlığı 96 olması demek 10 kaybetmişsiniz demek 

İnanmıyorsanız Settings  Privacy  Security gidin sonra Analytics or Analytics  Improvements a tıklayıp share İPhone Analyitics i açın Bir günün sonunda log dosyası oluşturması lazım aynı ayar sekmelerinden Analytic Data ya basıp logaggregated dosyasını bulun ve açın 

MaximumFCC ve NominalCharge diye aratıp size gelen pil değerlerini bulabilirsiniz,
İlkbahar,Öğlen,5 wattlık şarj cihazı ile kullanırsanız pil sağlığına bir şey olmaz 20 watt ve üzeri şarj cihazlarında pil sağlığı hızlı tükenmeye başlıyor,
İlkbahar,Öğlen,Bence ya iPhone 15 alınmalı ya da direkt iPhone 15 Pro Max alınmalı 15 Pro da pil tarafında yetersiz 7580 verilen bir cihazda daha iyi bir pil kullanılması gerekirdi,
İlkbahar,Öğlen,paran varsa plus veya pro max alınır yalnız bana göre pro hiç tercih edilmemesi gereken bir cihaz,
